time,power
2019/1/1 0:00,9.867
2019/1/1 1:00,9.894
2019/1/1 2:00,9.913
2019/1/1 3:00,9.888
2019/1/1 4:00,9.705
2019/1/1 5:00,9.704
2019/1/1 6:00,9.789
2019/1/1 7:00,9.768
2019/1/1 8:00,9.665
2019/1/1 9:00,9.548
2019/1/1 10:00,9.471
2019/1/1 11:00,9.359
2019/1/1 12:00,9.151
2019/1/1 13:00,9.141
2019/1/1 14:00,9.307
2019/1/1 15:00,9.624
2019/1/1 16:00,9.847
2019/1/1 17:00,9.911
2019/1/1 18:00,9.894
2019/1/1 19:00,9.825
2019/1/1 20:00,9.774
2019/1/1 21:00,9.798
2019/1/1 22:00,9.876
2019/1/1 23:00,9.913
2019/1/2 0:00,9.88
2019/1/2 1:00,9.879
2019/1/2 2:00,9.898
2019/1/2 3:00,9.912
2019/1/2 4:00,9.913
2019/1/2 5:00,9.913
2019/1/2 6:00,9.901
2019/1/2 7:00,9.893
2019/1/2 8:00,9.9
2019/1/2 9:00,9.91
2019/1/2 10:00,9.909
2019/1/2 11:00,9.892
2019/1/2 12:00,9.888
2019/1/2 13:00,9.899
2019/1/2 14:00,9.903
2019/1/2 15:00,9.9
2019/1/2 16:00,9.887
2019/1/2 17:00,9.854
2019/1/2 18:00,9.79
2019/1/2 19:00,9.696
2019/1/2 20:00,9.581
2019/1/2 21:00,9.467
2019/1/2 22:00,9.428
2019/1/2 23:00,9.434
2019/1/3 0:00,9.393
2019/1/3 1:00,9.354
2019/1/3 2:00,9.389
2019/1/3 3:00,9.406
2019/1/3 4:00,9.36
2019/1/3 5:00,9.299
2019/1/3 6:00,9.12
2019/1/3 7:00,8.926
2019/1/3 8:00,8.663
2019/1/3 9:00,8.437
2019/1/3 10:00,8.307
2019/1/3 11:00,7.924
2019/1/3 12:00,7.559
2019/1/3 13:00,7.517
2019/1/3 14:00,7.392
2019/1/3 15:00,7.103
2019/1/3 16:00,6.682
2019/1/3 17:00,5.948
2019/1/3 18:00,4.293
2019/1/3 19:00,3.407
2019/1/3 20:00,2.629
2019/1/3 21:00,1.804
2019/1/3 22:00,1.643
2019/1/3 23:00,2.038
2019/1/4 0:00,2.999
